,,,,
Registers of Scotland,,,,
Data and statistics,,,,
,,,,
"Table 4: Median residential property price by UK Parliamentary constituency: Scotland, 2004 to 2018, calendar year data",,,,
"These statistics include all residential sales in Scotland between £20,000 and £1,000,000, and are based on date of registration with Registers of Scotland.",,,,
Scroll up for more data,,,,
Year,United Kingdom Parliamentary constituency code,United Kingdom Parliamentary constituency name,Median residential property price (£),
2005,S14000048,North Ayrshire and Arran                          ,"75,000",
2005,S14000049,North East Fife                                   ,"129,995",
2005,S1400005 ,Orkney and Shetland                               ,"77,000",
2005,S14000050,Ochil and South Perthshire                        ,"105,000",
2005,S14000052,Paisley and Renfrewshire North                    ,"90,000",
2005,S14000053,Paisley and Renfrewshire South                    ,"75,700",
2005,S14000054,Perth and North Perthshire                        ,"101,000",
2005,S14000055,"Ross, Skye and Lochaber                           ","110,000",
2005,S14000056,Rutherglen and Hamilton West                      ,"99,000",
2005,S14000057,Stirling                                          ,"115,000",
2005,S14000058,West Aberdeenshire and Kincardine                 ,"139,995",
2005,S14000059,West Dunbartonshire                               ,"80,000",
2006,S14000001,Aberdeen North                                    ,"93,188",
2006,S14000002,Aberdeen South                                    ,"120,000",
2006,S14000003,Airdrie and Shotts                                ,"81,995",
2006,S14000004,Angus                                             ,"88,544",
2006,S14000005,Argyll and Bute                                   ,"110,000",
2006,S14000006,"Ayr, Carrick and Cumnock                          ","107,000",
2006,S14000007,Banff and Buchan                                  ,"86,253",
2006,S14000008,"Berwickshire, Roxburgh and Selkirk                ","117,150",
2006,S14000009,"Caithness, Sutherland and Easter Ross             ","92,000",
2006,S14000010,Central Ayrshire                                  ,"99,000",
2006,S14000011,"Coatbridge, Chryston and Bellshill                ","105,000",
2006,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","85,000",
2006,S14000013,Dumfries and Galloway                             ,"106,000",
2006,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","121,778",
2006,S14000015,Dundee East                                       ,"119,300",
