"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
Boston and Skegness,E14000582,30,"20,055",2.2,"23,218",1.8,"7,786",x,"12,907","14,769","17,526","23,430","26,731","28,284",x,x,,,,,,,,
Bosworth,E14000583,38,"24,542",4.9,"27,760",8.6,x,x,x,x,"21,283","27,821",x,x,x,x,,,,,,,,
Broxtowe,E14000607,x,x,,"25,669",1.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Charnwood,E14000625,22,"20,797",,"26,030",1.0,x,"12,146","13,887","15,793","18,642","24,017","28,231","30,912",x,x,,,,,,,,
Chesterfield,E14000632,36,"21,710",9.6,"24,968",6.7,"9,462","12,664","14,229","15,521","18,455","24,904","28,656","32,188","34,871",x,,,,,,,,
Corby,E14000648,37,"24,940",7.2,"26,800",4.3,"8,694",x,x,"18,425","21,250","28,200","31,635","33,434",x,x,,,,,,,,
Daventry,E14000660,36,"23,604",8.0,"27,786",9.1,"7,097","11,404","13,842","18,065","20,888","28,579","32,744","35,612","38,949",x,,,,,,,,
Derby North,E14000662,30,"26,992",16.0,"33,633",13.5,"9,316","13,546","15,676","18,113","21,766","31,866","35,988","38,582",x,x,,,,,,,,
Derby South,E14000663,75,"39,399",10.9,"38,574",7.2,"11,145","18,495","22,014","24,647","30,756","44,149","48,070","50,482","53,824",x,,,,,,,,
Derbyshire Dales,E14000664,27,"23,430",10.1,"28,699",12.7,"8,710","11,848","15,043","16,357","19,493","27,741","34,899","37,233",x,x,,,,,,,,
Erewash,E14000695,23,"19,602",3.3,"26,594",11.9,x,"10,801","13,483","15,472","17,375","25,236","30,182","32,675",x,x,,,,,,,,
Gainsborough,E14000707,23,"20,878",-5.9,"24,676",3.0,x,"10,134","11,473","13,542","18,595",x,x,x,x,x,,,,,,,,
Gedling,E14000710,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Grantham and Stamford,E14000714,33,"20,765",8.2,"26,415",12.6,x,"11,429","13,639","15,293","18,504","23,729","28,555",x,x,x,,,,,,,,
Harborough,E14000728,23,"20,556",8.2,"23,238",-5.0,x,x,x,x,"18,042","23,876",x,x,x,x,,,,,,,,
High Peak,E14000748,24,x,,"22,425",2.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Kettering,E14000769,31,"21,783",-0.7,"25,455",-0.3,x,x,x,"16,200","19,503","25,859","30,939",x,x,x,,,,,,,,
Leicester East,E14000782,21,"19,629",13.8,"21,552",12.5,"7,902","10,712","11,888","12,457","17,085","21,629","23,945","27,256",x,x,,,,,,,,
Leicester South,E14000783,67,"22,673",1.5,"25,905",6.3,"6,343","10,454","13,143","15,378","19,404","27,038","30,916","34,005","37,056",x,,,,,,,,
Leicester West,E14000784,24,"22,342",8.7,"26,288",13.7,"9,181","12,720","15,349",x,"19,570",x,x,x,x,x,,,,,,,,
Lincoln,E14000792,53,"21,474",2.1,"23,810",-2.4,"8,091","12,354","14,745","16,110","18,694","25,511","30,563","33,001","34,468",x,,,,,,,,
Loughborough,E14000797,37,x,,"26,929",3.3,x,"10,437","13,249","15,487","19,550",x,x,x,x,x,,,,,,,,
Louth and Horncastle,E14000798,23,"21,890",-1.2,"23,501",-5.1,x,"10,556","13,892","15,122","18,752","25,082","28,372","30,500",x,x,,,,,,,,
Mansfield,E14000810,29,"19,215",6.8,"22,552",18.0,"8,611","11,865","13,469","15,307","17,977","22,782","26,727","27,910","30,158",x,,,,,,,,
Mid Derbyshire,E14000814,x,"22,784",,"26,739",7.6,x,x,"13,148","15,585","20,232",x,x,x,x,x,,,,,,,,
Newark,E14000829,30,"20,973",3.6,"24,423",7.0,x,"14,156","15,032","16,251","18,791","24,757","30,002","32,785","34,933",x,,,,,,,,
North East Derbyshire,E14000843,20,"19,527",-6.1,"21,066",-15.3,x,"9,374","12,154","14,530","17,268","22,052","26,477","29,904","31,034",x,,,,,,,,
North West Leicestershire,E14000858,48,"25,570",11.2,"27,892",8.8,"8,324","13,905","16,147","18,392","22,144","28,755","33,213","35,504","38,026",x,,,,,,,,
Northampton North,E14000861,24,"25,281",15.4,"30,197",5.0,"8,417","12,910","14,688","17,496",x,"29,410",x,x,x,x,,,,,,,,
Northampton South,E14000862,51,"24,737",21.6,"28,149",14.3,"9,543","14,276","15,996","18,471","20,917","29,409","32,961","35,932",x,x,,,,,,,,
Nottingham East,E14000865,35,"20,664",-2.8,"24,591",-1.6,x,"11,562","13,075","14,736","18,063","24,226","29,026","30,774",x,x,,,,,,,,
Nottingham North,E14000866,25,"21,429",,"22,221",,x,"11,819","13,255","15,655","18,763","24,198","27,610","28,654","31,090",x,,,,,,,,
Nottingham South,E14000867,83,"24,369",6.5,"29,937",5.2,x,"12,389","15,260","17,500","20,478","29,579","35,918","40,173","44,211",x,,,,,,,,
Rushcliffe,E14000908,28,"23,174",-5.6,"32,367",8.8,x,"11,482","13,989","17,628","20,064","28,210","33,361",x,x,x,,,,,,,,
Rutland and Melton,E14000909,29,"21,398",14.2,"23,921",3.0,"7,704","11,645","12,754","16,205","18,793","25,564","29,590","31,647","33,541",x,,,,,,,,
Sherwood,E14000924,21,"19,186",-14.3,"21,707",-22.2,x,x,"10,712","13,299","15,572","21,945","25,368",x,x,x,,,,,,,,
Sleaford and North Hykeham,E14000929,29,"22,385",,"25,331",,"8,382","12,325","14,157","16,456","18,813",x,x,x,x,x,,,,,,,,
South Derbyshire,E14000935,27,"23,856",7.6,"25,806",2.7,"7,928","12,735","13,720","15,569","19,605","28,655","31,202","34,204","36,137",x,,,,,,,,
South Holland and The Deepings,E14000939,32,"22,611",6.1,"25,767",2.3,"8,981","14,607","16,881","17,941","19,755","26,119","31,513","33,013","34,133",x,,,,,,,,
South Leicestershire,E14000940,52,"24,260",3.9,"27,930",6.4,"9,602","13,900","16,272","17,926","21,154","26,984","31,884","35,114",x,x,,,,,,,,
South Northamptonshire,E14000942,39,"27,115",4.3,"31,713",-0.3,"8,462",x,x,"19,389","23,236","31,041",x,x,x,x,,,,,,,,
Wellingborough,E14001025,33,"23,774",10.3,"26,983",6.9,x,x,"16,341","17,529","21,020","26,382","32,199","35,086",x,x,,,,,,,,
West Midlands,E12000005,"1,854","23,870",4.6,"28,208",3.7,"8,108","12,673","15,051","16,918","20,145","27,451","32,476","35,447","39,038","49,300",,,,,,,,
Aldridge-Brownhills,E14000531,19,"19,801",5.7,"24,316",9.8,"7,686","11,600","13,141","14,869","17,115","23,629",x,x,x,x,,,,,,,,
"Birmingham, Edgbaston",E14000560,27,"23,101",-11.1,"27,674",-3.7,x,"10,559","12,983","15,832","18,732","29,010","33,223","36,402",x,x,,,,,,,,
"Birmingham, Erdington",E14000561,22,"22,563",-6.4,"24,858",-8.9,"6,875","11,389","13,438","16,459","19,131","26,922","30,049","32,166",x,x,,,,,,,,
"Birmingham, Hall Green",E14000562,x,"18,381",2.3,x,,x,"9,424","10,206","11,218","14,929",x,x,x,x,x,,,,,,,,
"Birmingham, Hodge Hill",E14000563,11,"23,426",2.3,"27,532",-3.1,x,"15,068","15,787","16,745","20,338","25,914",x,x,x,x,,,,,,,,
"Birmingham, Ladywood",E14000564,176,"29,085",5.8,"35,589",8.6,"12,576","17,781","19,714","21,368","25,674","34,190","40,669","43,708","47,799",x,,,,,,,,
"Birmingham, Northfield",E14000565,14,"23,287",-2.3,"27,746",4.8,x,"12,578","14,334","17,171","19,789","29,176",x,x,x,x,,,,,,,,
"Birmingham, Perry Barr",E14000566,17,"24,108",,"27,986",7.3,x,"12,567","15,524","16,875","20,078","26,470","31,819",x,x,x,,,,,,,,
"Birmingham, Selly Oak",E14000567,16,"23,456",-9.8,"27,681",-2.8,x,"12,108","14,021","16,938","19,601","28,490","33,725",x,x,x,,,,,,,,
"Birmingham, Yardley",E14000568,18,"23,963",15.5,"30,005",18.8,"9,129","13,239","15,634","17,678","20,237","27,854","34,088",x,x,x,,,,,,,,
Bromsgrove,E14000605,32,"22,799",,"27,362",10.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Burton,E14000610,41,x,,"27,297",5.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Cannock Chase,E14000618,29,"20,140",-11.4,"22,677",-13.7,"7,251","10,864","12,309","14,775","17,468","24,197","26,896","29,603","31,926",x,,,,,,,,
Coventry North East,E14000649,40,"22,842",-2.1,"24,547",-10.2,"6,931","11,699","14,172","16,047","18,494","25,145","29,385","30,894","34,334",x,,,,,,,,
Coventry North West,E14000650,12,x,,"25,223",-9.2,x,x,"12,762","14,622","17,348","27,184",x,x,x,x,,,,,,,,
Coventry South,E14000651,59,"27,647",-5.1,"31,385",-7.9,"8,441","15,593","18,357","19,540","23,202","32,688","37,389","40,600","45,032",x,,,,,,,,
Dudley North,E14000671,22,"22,704",4.9,"25,667",-3.6,x,"11,067","14,701","16,189","19,245","26,607","29,533","32,827",x,x,,,,,,,,
Dudley South,E14000672,31,"21,247",5.5,"24,837",5.3,"8,293","10,884","12,712","14,982","18,257","25,135","28,786","31,186","34,284",x,,,,,,,,
Halesowen and Rowley Regis,E14000722,23,"21,300",12.4,"24,821",1.3,"6,755","10,977","12,440","15,037","18,198","25,824","29,564","31,916",x,x,,,,,,,,
Hereford and South Herefordshire,E14000743,39,"21,948",9.9,"25,595",5.4,x,"11,346","13,239","15,932","19,048","24,508","28,459","31,574",x,x,,,,,,,,
Kenilworth and Southam,E14000767,32,"29,410",-8.5,x,,"9,262","13,693","16,798","18,770","24,612","33,207","38,693","41,937",x,x,,,,,,,,
Lichfield,E14000791,31,"23,609",6.9,"26,261",5.4,x,x,x,x,x,"27,513",x,x,x,x,,,,,,,,
Ludlow,E14000799,21,"19,481",17.4,"21,612",5.7,x,"8,400","9,851","11,632","15,500",x,x,x,x,x,,,,,,,,
Meriden,E14000812,57,"28,536",12.1,"35,027",9.8,"9,575","14,092","16,536","18,329","24,275","34,049","39,884","44,006","47,693",x,,,,,,,,
Mid Worcestershire,E14000818,34,"22,626",-1.7,"24,764",2.0,x,x,x,"15,753","19,315","26,514","30,417",x,x,x,,,,,,,,
Newcastle-under-Lyme,E14000834,28,"20,295",3.4,"22,371",2.2,"8,844","11,628","13,923","15,519","18,041","23,071","26,349","28,976","31,450",x,,,,,,,,
North Herefordshire,E14000847,x,"18,616",-3.3,"21,645",-4.7,x,x,"12,435",x,x,x,x,x,x,x,,,,,,,,
North Shropshire,E14000849,28,"23,008",8.7,"29,241",9.7,"8,330","12,600","14,453","18,194","21,009","26,649","30,295","32,514",x,x,,,,,,,,
North Warwickshire,E14000854,48,"24,324",5.7,"29,262",3.9,"10,108","14,891","17,406","18,629","21,989","28,850","34,436","37,112","40,288",x,,,,,,,,
Nuneaton,E14000868,26,x,,"24,050",5.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Redditch,E14000892,31,"22,619",6.2,"26,356",6.0,"8,064","12,173","15,804","17,422","19,783","24,948","29,554","33,033",x,x,,,,,,,,
Rugby,E14000905,37,"25,013",,"29,484",-0.3,x,x,x,x,"21,390","31,819","39,924","42,898",x,x,,,,,,,,
Shrewsbury and Atcham,E14000926,43,"22,325",8.9,"24,523",5.7,"6,361","10,196","12,712","15,040","19,131","24,698","29,128","31,115",x,x,,,,,,,,
Solihull,E14000931,32,"24,857",-23.7,"36,623",2.1,"9,271","13,086","15,262","17,641","20,745","30,773","34,994","39,980",x,x,,,,,,,,
South Staffordshire,E14000945,18,"20,608",,"23,578",0.4,x,"12,154","13,691","15,021","17,691","27,022",x,x,x,x,,,,,,,,
Stafford,E14000965,38,"25,016",11.3,"28,363",9.5,"9,584","13,830","15,728","17,345","20,726","29,723","33,827","36,315","39,889",x,,,,,,,,
Staffordshire Moorlands,E14000966,x,"22,725",9.4,"27,107",14.5,x,"11,259","14,192","15,483",x,x,x,x,x,x,,,,,,,,
Stoke-on-Trent Central,E14000972,64,"23,654",-0.6,"26,033",-4.4,"6,626","11,945","14,612","16,476","20,045","26,311","29,901","31,995","35,341",x,,,,,,,,
Stoke-on-Trent North,E14000973,x,x,,"23,369",3.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Stoke-on-Trent South,E14000974,19,"20,574",2.8,"25,785",0.8,"8,491","12,743","14,240","15,367","18,599","24,830","29,400","32,288",x,x,,,,,,,,
Stone,E14000975,16,"19,063",-9.4,"22,533",-1.9,x,"9,974","11,520","14,067","16,722","22,742","25,296",x,x,x,,,,,,,,
Stourbridge,E14000976,14,"21,404",14.5,"24,494",8.7,x,"12,706","14,941","16,249","17,960","23,595",x,x,x,x,,,,,,,,
Stratford-on-Avon,E14000977,33,"23,364",2.6,"26,010",10.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Sutton Coldfield,E14000985,20,"18,970",-0.3,"27,722",13.6,x,"9,866","12,873","14,553","16,324","24,514","32,562",x,x,x,,,,,,,,
Tamworth,E14000986,23,"21,255",0.2,"26,746",12.5,"8,280","12,069","13,863","16,250","19,435","25,072","28,994","32,362",x,x,,,,,,,,
Telford,E14000989,45,"26,251",12.4,"28,558",7.7,"8,399","14,075","16,071","17,730","22,368","29,921","34,389","37,271","38,842",x,,,,,,,,
The Wrekin,E14000992,33,"21,314",3.3,"25,234",6.1,"6,923",x,x,"14,858","18,658","24,657","29,935",x,x,x,,,,,,,,
Walsall North,E14001011,24,"23,975",11.7,"27,927",15.7,"9,264","14,097","15,993","17,006","19,358","28,344","32,461","34,160",x,x,,,,,,,,
Walsall South,E14001012,34,"22,160",9.5,"25,570",,"7,510","11,574","13,400","14,920","18,745","26,427","31,498","34,111","36,729",x,,,,,,,,
Warley,E14001016,x,"21,876",9.0,"23,292",-1.5,"8,923","12,305","15,249","17,313","20,022",x,x,x,x,x,,,,,,,,
Warwick and Leamington,E14001019,59,"27,217",8.9,"33,117",-3.1,"8,895","13,773","17,194","19,715","23,413","33,089","40,264","43,891","47,614",x,,,,,,,,
West Bromwich East,E14001029,26,"23,755",13.2,"26,046",19.9,"10,703","14,150","15,773","16,721","20,857","26,754","30,874","33,501","37,013",x,,,,,,,,
West Bromwich West,E14001030,44,"24,821",-1.2,"28,596",1.4,"10,712","14,930","16,588","17,993","21,519","27,324","31,379","33,122",x,x,,,,,,,,
West Worcestershire,E14001035,24,"20,006",2.0,"23,705",3.0,x,"9,428","11,215","12,917","17,276","23,150","29,060","31,416",x,x,,,,,,,,
Wolverhampton North East,E14001049,38,"24,750",2.5,"29,456",0.7,"9,109","14,266","15,331","17,462","20,613","28,926","35,109","37,778","42,943",x,,,,,,,,
Wolverhampton South East,E14001050,21,"21,998",4.0,"24,272",5.1,"8,699","11,701","14,002","16,461","19,401","25,577","28,355","30,124","33,296",x,,,,,,,,
Wolverhampton South West,E14001051,20,"22,522",,"25,200",7.8,"6,464","10,594","11,964","14,906","18,416","26,366","34,256","36,225",x,x,,,,,,,,
Worcester,E14001052,44,"23,624",4.6,"26,711",7.6,"7,913","12,982","15,204","17,398","20,687","27,784","31,492","33,526","38,361",x,,,,,,,,
Wyre Forest,E14001058,22,"20,783",14.5,"22,356",9.3,x,"10,955","12,444","15,634","17,702","23,870","27,234","28,721",x,x,,,,,,,,
East,E12000006,"2,006","24,447",4.3,"28,906",3.1,"7,349","11,902","14,278","16,616","20,482","28,638","33,672","36,653","40,322","52,638",,,,,,,,
Basildon and Billericay,E14000544,40,"26,276",17.3,"30,074",17.3,"7,390","12,672","15,937","17,698","22,013","31,524","35,911","39,242","42,491",x,,,,,,,,
Bedford,E14000552,41,"25,229",6.0,"30,790",9.1,"7,240","12,818","15,952","17,728","20,659","30,101","34,565","37,920","43,727",x,,,,,,,,
Braintree,E14000590,22,x,,"23,001",-11.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Brentwood and Ongar,E14000594,24,"23,677",1.2,"31,084",7.4,"5,933","9,889","11,259","13,680","18,777","28,509","34,819","42,878",x,x,,,,,,,,
Broadland,E14000603,26,"21,471",3.6,"22,785",0.2,x,x,x,x,"17,917","24,056",x,x,x,x,,,,,,,,
Broxbourne,E14000606,26,"25,731",5.1,"29,055",-1.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Bury St Edmunds,E14000613,42,"24,360",4.4,"27,595",0.3,"8,811","13,267","15,987","17,348","21,067","27,455","31,143","34,375","36,823",x,,,,,,,,
Cambridge,E14000617,68,"28,767",-0.1,"35,248",0.5,x,"15,347","18,296","20,578","24,743","34,266","40,080","44,091","50,052",x,,,,,,,,
Castle Point,E14000622,16,"18,386",,"22,926",1.3,x,x,"8,677","10,652","14,396","21,187","27,171",x,x,x,,,,,,,,
Central Suffolk and North Ipswich,E14000624,27,"21,151",-2.9,"23,993",3.6,"6,376","10,274","11,987","14,693","18,278","24,781","28,889","30,061",x,x,,,,,,,,
Chelmsford,E14000628,48,"25,474",10.1,"30,572",10.8,x,"11,914","13,964","16,975","20,836","30,405","35,939",x,x,x,,,,,,,,
Clacton,E14000642,15,"17,107",24.1,"21,810",9.6,x,"6,655","7,803","8,853",x,x,x,x,x,x,,,,,,,,
Colchester,E14000644,50,"23,941",4.3,"28,912",8.5,"8,464",x,"15,285","17,634","20,766","27,829","32,907","36,506",x,x,,,,,,,,
Epping Forest,E14000693,24,x,,"27,963",-3.1,"9,421","11,753","13,403",x,x,"31,306",x,x,x,x,,,,,,,,
Great Yarmouth,E14000717,28,"20,762",,"25,995",3.3,x,"10,613","12,449","14,031","17,943","24,868","29,597","33,911",x,x,,,,,,,,
Harlow,E14000729,x,"27,177",5.9,"30,989",-1.6,"9,218","13,768","16,592","18,430","22,263","30,988",x,x,x,x,,,,,,,,
Harwich and North Essex,E14000734,x,x,,"24,837",-0.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Hemel Hempstead,E14000739,63,"15,402",-36.8,"22,476",-31.8,x,"5,773","6,821","8,254","11,156","20,483","26,597","30,382","33,133",x,,,,,,,,
Hertford and Stortford,E14000744,34,"26,434",6.5,"30,362",12.9,"6,315","11,524","14,152","16,629","21,874","30,006","35,844","39,785",x,x,,,,,,,,
Hertsmere,E14000745,38,"27,546",8.4,"36,294",3.2,"8,283","14,070","16,227","17,659","23,021","31,187","35,950","38,890",x,x,,,,,,,,
Hitchin and Harpenden,E14000749,25,"24,180",26.0,"28,237",18.4,"6,542","9,941","11,260","15,060","20,175","28,661","35,836","37,150",x,x,,,,,,,,
Huntingdon,E14000757,44,"26,279",8.5,"31,026",7.4,"8,658","14,496","17,579","19,133","22,723","30,189","35,885","39,056","40,968",x,,,,,,,,
Ipswich,E14000761,47,"21,199",-4.0,"28,146",-2.5,"7,300","11,947","13,539","16,179","18,461","24,643","28,987","32,742","37,722",x,,,,,,,,
Luton North,E14000800,20,x,,"27,525",18.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Luton South,E14000801,43,"29,615",10.2,"34,738",7.3,"8,772","15,879","18,007","20,222","25,011","34,001","40,569","45,107",x,x,,,,,,,,
Maldon,E14000806,23,"23,707",15.4,"27,778",16.1,x,"10,970","12,987","15,175","20,299",x,x,x,x,x,,,,,,,,
Mid Bedfordshire,E14000813,30,"25,387",6.7,"28,387",6.4,x,"10,387","12,251","15,495","20,319","30,687","35,393","36,593","38,531",x,,,,,,,,
Mid Norfolk,E14000816,25,"21,988",8.8,"22,730",0.1,x,"12,019","12,881","15,118","18,037","25,011",x,x,x,x,,,,,,,,
North East Bedfordshire,E14000841,24,"23,041",5.4,"27,613",,"8,545","12,008","13,923","15,942","19,273","27,233","32,041","35,475",x,x,,,,,,,,
North East Cambridgeshire,E14000842,27,"20,311",2.6,"23,298",5.2,x,"12,423","13,324","15,553","18,151","22,711","27,824","30,772","33,413",x,,,,,,,,
North East Hertfordshire,E14000845,30,"27,466",12.9,"30,318",4.8,"6,000",x,x,"16,689","21,405","32,823","38,496","39,981","43,899",x,,,,,,,,
North Norfolk,E14000848,x,x,,x,,"7,138",x,x,x,x,x,x,x,x,x,,,,,,,,
North West Cambridgeshire,E14000855,46,"24,267",7.6,"27,715",0.7,"6,946","11,129","14,181","16,690","19,849","27,901","32,273","35,716","38,801",x,,,,,,,,
North West Norfolk,E14000859,34,"22,472",8.6,"25,484",1.5,x,"11,836","13,975","15,949","20,101","27,099","30,911","33,046","36,343",x,,,,,,,,
Norwich North,E14000863,38,"24,643",4.5,"29,173",2.9,"8,146","12,566","14,741","16,501","20,700","27,668","33,283","35,751",x,x,,,,,,,,
Norwich South,E14000864,46,"22,464",3.7,"25,099",1.2,"6,162","9,807","12,204","14,504","18,762","26,255","30,760","33,978","38,506",x,,,,,,,,
Peterborough,E14000878,57,"23,572",9.8,"26,685",5.1,"8,739","12,533","15,201","16,751","20,805","27,207","31,153","34,198","37,501",x,,,,,,,,
Rayleigh and Wickford,E14000888,16,x,,"25,480",10.1,x,"9,141","10,425",x,x,"28,965","34,607",x,x,x,,,,,,,,
Rochford and Southend East,E14000899,34,"21,192",-3.0,"24,688",0.9,"7,319","11,321","12,942","15,011","18,414","25,130","30,743","32,823","34,866",x,,,,,,,,
Saffron Walden,E14000910,39,"25,099",,"28,341",1.3,"8,283","10,961",x,x,"22,018","28,928","32,315",x,x,x,,,,,,,,
South Basildon and East Thurrock,E14000933,24,"23,203",4.1,"26,012",0.1,"8,013","11,756","13,968","15,603","20,832","27,123","32,297","34,315","38,372",x,,,,,,,,
South Cambridgeshire,E14000934,59,"31,314",4.6,"38,679",5.6,"12,957","18,710","20,349","23,412","27,169","36,831","42,432",x,x,x,,,,,,,,
South East Cambridgeshire,E14000937,51,"27,338",-3.4,"33,421",1.8,"9,486","15,431","17,877","19,926","24,485","30,744","36,957","40,270","43,500",x,,,,,,,,
South Norfolk,E14000941,42,"21,620",-0.2,"25,401",-2.1,"7,931","12,003","13,522","15,066","18,738","25,612","29,704","31,799","35,903",x,,,,,,,,
South Suffolk,E14000946,21,"21,075",1.5,"24,049",5.0,"8,434","11,343","12,295","13,916","18,870","24,314","28,627","29,636",x,x,,,,,,,,
South West Bedfordshire,E14000949,32,"22,173",-0.7,"28,593",-1.5,"8,617","12,752","13,933","15,650","18,765","26,897","31,741","34,322",x,x,,,,,,,,
South West Hertfordshire,E14000951,37,"29,124",10.0,"33,685",-1.2,"7,995","13,634","16,405","20,000","25,207","33,999","39,165","45,386","48,578",x,,,,,,,,
South West Norfolk,E14000952,28,"22,151",7.0,"23,441",4.0,"6,562","10,792","12,622","14,988","18,633","25,125","27,464","28,582","31,508",x,,,,,,,,
Southend West,E14000957,20,x,,"21,813",0.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
St Albans,E14000960,38,"27,033",5.1,"29,899",-6.5,x,x,x,x,"21,173","30,136","36,588",x,x,x,,,,,,,,
Stevenage,E14000968,35,"28,909",7.4,"36,004",9.9,"10,334","16,233","19,272","20,422","24,532","33,597","38,628","42,441","46,256",x,,,,,,,,
Suffolk Coastal,E14000981,40,"29,249",18.3,"31,035",13.6,x,x,x,x,"23,977","33,180","37,739",x,x,x,,,,,,,,
Thurrock,E14000995,40,"24,385",4.2,"26,217",5.5,x,x,x,x,"20,936","27,458","32,968",x,x,x,,,,,,,,
Watford,E14001021,46,"24,253",11.3,"30,571",14.7,x,x,x,"18,298","21,195","28,840",x,x,x,x,,,,,,,,
Waveney,E14001022,26,"21,016",6.3,"23,894",7.5,x,"10,781","12,167","14,244","17,781","25,119","27,579","30,180",x,x,,,,,,,,
Welwyn Hatfield,E14001027,65,"30,538",5.3,"38,548",2.8,x,"16,620","18,939","21,816","25,968","35,543","42,453","46,611","52,392",x,,,,,,,,
West Suffolk,E14001034,35,"22,146",-0.9,"26,299",4.0,"8,408","12,619","14,723","16,908","19,011","25,054","30,412","33,799","35,722",x,,,,,,,,
Witham,E14001045,24,x,,"26,642",9.0,x,x,x,x,x,"26,574",x,x,x,x,,,,,,,,
London,E12000007,"3,274","33,875",2.7,"45,457",1.4,"10,085","17,915","20,701","23,495","28,531","39,616","46,851","51,899","58,598","84,595",,,,,,,,
Barking,E14000540,23,"25,086",-7.7,"26,910",-7.4,"6,846",x,"15,651","18,202","21,000","28,733","34,159","37,268","39,661",x,,,,,,,,
Battersea,E14000549,35,"30,875",1.1,"35,415",,"9,664","14,421","16,580","21,027","26,600","35,364","40,058","42,582","47,564",x,,,,,,,,
Beckenham,E14000551,16,"24,502",9.8,"28,802",16.4,x,"8,877",x,x,"19,880","30,259",x,x,x,x,,,,,,,,
Bermondsey and Old Southwark,E14000553,136,"39,281",3.1,"45,690",0.4,"16,906","23,453","26,184","28,524","33,973","43,896","51,091","55,216","60,039",x,,,,,,,,
Bethnal Green and Bow,E14000555,67,"32,672",-1.3,"39,148",-6.5,"8,082","17,537","21,013","23,117","27,623","36,990","43,399","47,200","51,454",x,,,,,,,,
Bexleyheath and Crayford,E14000558,21,"22,314",-14.5,"26,876",-3.3,x,"11,433","13,709","15,943","19,157","29,226","34,048","37,511",x,x,,,,,,,,
Brent Central,E14000591,36,"26,988",3.2,"31,034",5.8,"8,413","13,999","16,438","18,324","22,346","32,118","36,494","38,914","43,912",x,,,,,,,,
Brent North,E14000592,31,"24,522",,"27,933",13.8,x,x,x,x,x,"28,136",x,x,x,x,,,,,,,,
Brentford and Isleworth,E14000593,44,"34,602",5.4,"44,546",13.4,"10,193","17,709","19,883",x,"29,040",x,x,x,x,x,,,,,,,,
Bromley and Chislehurst,E14000604,x,"24,613",-0.3,"30,998",4.8,"7,070",x,x,x,x,x,x,x,x,x,,,,,,,,
Camberwell and Peckham,E14000615,14,"24,207",,"26,212",-2.8,x,"9,657",x,x,"21,484","29,335","33,526","35,760",x,x,,,,,,,,
Carshalton and Wallington,E14000621,17,"25,473",,"26,499",4.3,x,"9,586","11,815","13,628","19,402","29,098","33,403",x,x,x,,,,,,,,
Chelsea and Fulham,E14000629,37,"28,750",-1.2,"36,096",-2.4,"8,148","15,553","18,276","21,185","24,732","32,495","39,499","42,287",x,x,,,,,,,,
Chingford and Woodford Green,E14000634,12,"21,747",,"25,505",-3.4,x,"12,478","13,932","15,709","17,479","24,427",x,x,x,x,,,,,,,,
Chipping Barnet,E14000636,15,"24,566",19.3,"27,709",11.4,x,x,"12,960","16,988","20,206","30,909","36,007",x,x,x,,,,,,,,
Cities of London and Westminster,E14000639,791,"46,796",2.4,"69,271",-1.6,"19,531","27,383","30,587","33,484","39,872","56,485","68,959","78,308","89,758","130,697",,,,,,,,
Croydon Central,E14000654,48,"33,577",7.2,"35,300",4.4,x,x,x,x,"30,280","36,840","40,401",x,x,x,,,,,,,,
Croydon North,E14000655,22,"24,416",4.3,"27,552",2.7,"8,189","10,815","12,718","15,208","19,949","30,476","35,242","39,045","40,260",x,,,,,,,,
Croydon South,E14000656,21,"23,464",2.0,"28,741",3.3,"8,333","11,832","13,070","15,769","19,066","29,606","37,534",x,x,x,,,,,,,,
Dagenham and Rainham,E14000657,23,"23,877",,"27,825",-5.0,"8,587","11,179","13,623","15,148","19,832","26,799","31,374",x,x,x,,,,,,,,
Dulwich and West Norwood,E14000673,22,"31,531",3.6,"30,727",1.7,"9,211","14,563","17,138","20,269","25,619","35,095","38,049","40,075","42,294",x,,,,,,,,
Ealing Central and Acton,E14000674,43,"27,033",2.1,"32,838",-4.4,"8,715","14,260","16,468","19,221","23,068","31,504","38,002","42,743","48,701",x,,,,,,,,
Ealing North,E14000675,25,x,,"28,157",1.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
