"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
Birkenhead,E14000559,20,"20,808",5.2,"24,459",4.2,"8,328","11,278","13,055","15,087","18,694","25,773","28,543","31,715",x,x,,,,,,,,
Blackburn,E14000570,40,"21,680",6.0,"27,381",-5.3,"7,929","12,597","15,072","17,179","19,376","25,127","30,712","33,646","36,385",x,,,,,,,,
Blackley and Broughton,E14000571,40,"28,619",-2.8,"30,707",-2.5,x,x,x,x,"24,977","33,702","39,180",x,x,x,,,,,,,,
Blackpool North and Cleveleys,E14000572,25,x,,"27,692",14.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Blackpool South,E14000573,23,"21,388",21.5,"23,128",7.4,"6,910","9,831","13,145","15,629","17,484","24,871","28,850","30,487","32,468",x,,,,,,,,
Bolton North East,E14000578,23,"21,317",-3.3,"23,113",-3.7,"8,082","12,082","13,841","15,901","19,124","26,126","29,636","31,480","32,884",x,,,,,,,,
Bolton South East,E14000579,x,"20,806",,"27,792",24.6,"8,367","11,992","13,912","15,406","18,399",x,x,x,x,x,,,,,,,,
Bolton West,E14000580,25,"20,887",2.3,"23,912",5.0,"8,508","11,892","14,178","15,814","18,184","24,994","30,787","33,487","35,878",x,,,,,,,,
Bootle,E14000581,47,"22,996",12.7,"27,341",8.6,"8,967","13,144","15,951","17,669","19,874","27,752","32,110","33,973","37,765",x,,,,,,,,
Burnley,E14000609,29,"20,184",0.3,"24,468",0.5,"9,796","13,700","15,466","16,428","17,902","22,535","27,199","30,857","34,515",x,,,,,,,,
Bury North,E14000611,27,"24,042",,x,,x,x,x,x,"20,398","26,825","30,115",x,x,x,,,,,,,,
Bury South,E14000612,x,x,,"21,292",-3.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Carlisle,E14000620,41,"20,912",0.9,"24,974",2.5,"7,700","12,282","13,754","14,963","18,160","24,824","28,877","31,340","33,499",x,,,,,,,,
Cheadle,E14000627,37,"25,249",7.5,"31,953",5.1,"9,109",x,"15,195","17,342","21,334","30,532","35,745",x,x,x,,,,,,,,
Chorley,E14000637,26,"19,060",-0.8,"21,211",-5.3,x,"10,591","12,332","13,919","16,368","22,397","26,439","28,233","30,803",x,,,,,,,,
City of Chester,E14000640,52,"22,736",-0.7,"29,414",2.3,x,x,"14,917","17,262","19,337","27,012","33,154",x,x,x,,,,,,,,
Congleton,E14000646,23,"22,287",4.1,"24,241",4.3,x,"10,214","12,316","15,307","18,755","25,891","28,659","29,819",x,x,,,,,,,,
