,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 4 January 2021],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2019-Jun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,mnemonic,Numerator,Denominator,% all in employment who work in - A:agriculture and fishing (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - B,D,E:energy and water (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - C:manufacturing (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - F:construction (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - G,I:distribution, hotels and restaurants (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - H,J:transport and communications (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - K-N:banking, finance and insurance (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - O-Q:public admin. education and health (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - R-U:other services (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - G-U:total services (SIC 2007),Conf
pca10:Knowsley,E14000775,!,48600,!,!,600,48600,1.2,*,4100,48600,8.5,3.0,3900,48600,8.1,2.9,7600,48600,15.6,3.9,5700,48600,11.6,3.5,9300,48600,19.2,4.2,13900,48600,28.6,4.9,3500,48600,7.2,2.8,39900,48600,82.2,4.1
pca10:Lancaster and Fleetwood,E14000776,1900,45300,4.2,*,!,45300,!,!,3300,45300,7.2,*,2400,45300,5.3,*,7200,45300,15.8,7.8,5700,45300,12.6,7.1,7000,45300,15.5,7.7,13200,45300,29.2,9.7,4100,45300,9.1,*,37300,45300,82.3,8.2
pca10:Leigh,E14000785,!,51300,!,!,1500,51300,3.0,*,2800,51300,5.4,*,6600,51300,12.8,5.3,9500,51300,18.5,6.1,4300,51300,8.4,4.4,8900,51300,17.3,6.0,15500,51300,30.2,7.3,2200,51300,4.4,*,40400,51300,78.8,6.5
"pca10:Liverpool, Riverside",E14000793,!,51200,!,!,!,51200,!,!,3000,51200,5.9,*,3000,51200,5.8,*,9800,51200,19.2,7.4,!,51200,!,!,9300,51200,18.2,7.2,20700,51200,40.4,9.2,3800,51200,7.4,*,44300,51200,86.5,6.4
"pca10:Liverpool, Walton",E14000794,!,44100,!,!,!,44100,!,!,2600,44100,6.0,*,3400,44100,7.7,*,7000,44100,15.8,7.7,5800,44100,13.1,7.1,7500,44100,17.0,7.9,16600,44100,37.6,10.2,#,44100,2.8,*,38100,44100,86.4,7.3
"pca10:Liverpool, Wavertree",E14000795,!,44900,!,!,!,44900,!,!,3300,44900,7.3,*,!,44900,!,!,5200,44900,11.6,6.2,6100,44900,13.6,6.6,5200,44900,11.6,6.1,21100,44900,46.9,9.6,2800,44900,6.3,*,40400,44900,90.0,5.8
"pca10:Liverpool, West Derby",E14000796,!,55800,!,!,1600,55800,2.9,*,1900,55800,3.3,*,5000,55800,8.9,4.9,11500,55800,20.6,7.0,5800,55800,10.4,5.3,8000,55800,14.3,6.1,18300,55800,32.8,8.1,3800,55800,6.8,*,47400,55800,84.9,6.2
pca10:Macclesfield,E14000802,#,44000,3.2,*,!,44000,!,!,5300,44000,12.1,*,2700,44000,6.1,*,10100,44000,22.8,8.8,1700,44000,3.9,*,8000,44000,18.2,8.1,12800,44000,29.0,9.5,2000,44000,4.6,*,34600,44000,78.6,8.6
pca10:Makerfield,E14000805,!,48000,!,!,1300,48000,2.7,*,4600,48000,9.6,4.7,4500,48000,9.5,4.7,9700,48000,20.3,6.4,3300,48000,6.9,4.0,7700,48000,16.1,5.8,12300,48000,25.5,6.9,4000,48000,8.3,4.4,37100,48000,77.2,6.7
pca10:Manchester Central,E14000807,!,70500,!,!,!,70500,!,!,3300,70500,4.7,*,2700,70500,3.9,*,15300,70500,21.7,6.9,8300,70500,11.7,5.4,14400,70500,20.4,6.8,19900,70500,28.2,7.6,5200,70500,7.3,4.4,62900,70500,89.3,5.2
"pca10:Manchester, Gorton",E14000808,!,51500,!,!,!,51500,!,!,1700,51500,3.3,*,1900,51500,3.6,*,13900,51500,27.0,8.9,6900,51500,13.5,6.8,5300,51500,10.4,6.1,18400,51500,35.8,9.6,2900,51500,5.5,*,47500,51500,92.2,5.4
"pca10:Manchester, Withington",E14000809,!,65700,!,!,!,65700,!,!,2800,65700,4.2,*,2100,65700,3.1,*,5800,65700,8.8,4.9,8500,65700,12.9,5.8,14900,65700,22.6,7.2,26000,65700,39.6,8.4,4900,65700,7.5,*,60000,65700,91.4,4.8
pca10:Morecambe and Lunesdale,E14000825,!,41500,!,!,2000,41500,4.8,*,3000,41500,7.1,*,2100,41500,5.1,*,10600,41500,25.6,10.0,3100,41500,7.4,*,4000,41500,9.7,*,13400,41500,32.3,10.7,2800,41500,6.6,*,33900,41500,81.6,8.9
pca10:Oldham East and Saddleworth,E14000870,!,44600,!,!,!,44600,!,!,4400,44600,9.9,3.8,3100,44600,7.0,3.2,10700,44600,23.9,5.4,3600,44600,8.0,3.4,6200,44600,14.0,4.4,14900,44600,33.5,5.9,1500,44600,3.4,2.3,36900,44600,82.7,4.8
pca10:Oldham West and Royton,E14000871,!,51400,!,!,800,51400,1.6,*,4300,51400,8.4,3.2,4200,51400,8.1,3.2,11000,51400,21.5,4.8,5200,51400,10.2,3.5,8200,51400,16.0,4.3,15200,51400,29.6,5.3,2200,51400,4.3,2.4,41900,51400,81.6,4.5
pca10:Pendle,E14000875,!,42600,!,!,!,42600,!,!,9800,42600,22.9,9.1,4300,42600,10.1,*,9400,42600,22.0,9.0,5300,42600,12.4,7.2,4100,42600,9.6,*,8300,42600,19.5,8.6,!,42600,!,!,28100,42600,65.8,10.3
pca10:Penrith and The Border,E14000877,2900,41000,7.0,*,800,41000,2.1,*,4000,41000,9.8,5.3,4500,41000,11.0,5.6,7200,41000,17.7,6.8,2200,41000,5.3,*,6400,41000,15.6,6.5,10400,41000,25.4,7.8,2500,41000,6.2,*,28800,41000,70.2,8.2
pca10:Preston,E14000885,!,35000,!,!,!,35000,!,!,3400,35000,9.8,*,2700,35000,7.6,*,6300,35000,17.9,*,3100,35000,9.0,*,3200,35000,9.1,*,14700,35000,41.8,13.3,!,35000,!,!,28300,35000,80.8,10.6
pca10:Ribble Valley,E14000894,!,52000,!,!,2400,52000,4.6,*,9200,52000,17.6,7.8,2100,52000,4.0,*,4600,52000,8.9,*,3500,52000,6.7,*,7800,52000,15.0,7.3,17300,52000,33.3,9.6,4700,52000,9.0,*,37900,52000,72.9,9.1
pca10:Rochdale,E14000897,!,51700,!,!,!,51700,!,!,5700,51700,11.1,3.4,3500,51700,6.7,2.7,12000,51700,23.2,4.6,4900,51700,9.4,3.2,5700,51700,11.0,3.4,17000,51700,32.9,5.1,2500,51700,4.9,2.3,42000,51700,81.3,4.2
pca10:Rossendale and Darwen,E14000902,!,53100,!,!,~,53100,0.8,*,7800,53100,14.6,4.2,4700,53100,8.9,3.4,10600,53100,19.9,4.7,4200,53100,8.0,3.2,7200,53100,13.5,4.0,15000,53100,28.3,5.3,3200,53100,6.0,2.8,40200,53100,75.7,5.1
pca10:Salford and Eccles,E14000911,!,55900,!,!,700,55900,1.2,*,5800,55900,10.3,3.8,4000,55900,7.1,3.2,14500,55900,26.0,5.5,5600,55900,9.9,3.8,9200,55900,16.4,4.7,13400,55900,23.9,5.4,2600,55900,4.7,2.7,45200,55900,80.9,5.0
pca10:Sefton Central,E14000916,!,40300,!,!,!,40300,!,!,2200,40300,5.4,*,3600,40300,8.9,4.0,7500,40300,18.7,5.5,2500,40300,6.3,3.4,8000,40300,19.9,5.6,13800,40300,34.2,6.6,2600,40300,6.4,3.4,34500,40300,85.5,4.9
pca10:South Ribble,E14000943,!,50100,!,!,!,50100,!,!,3900,50100,7.8,*,5100,50100,10.2,*,7000,50100,13.9,6.9,6200,50100,12.4,6.6,8900,50100,17.8,7.6,14300,50100,28.6,9.0,4200,50100,8.4,*,40700,50100,81.1,7.8
pca10:Southport,E14000958,!,44900,!,!,!,44900,!,!,3100,44900,6.9,3.4,3000,44900,6.7,3.3,8900,44900,19.9,5.3,3500,44900,7.8,3.6,6200,44900,13.9,4.6,17300,44900,38.5,6.5,2100,44900,4.6,2.8,38000,44900,84.6,4.8
pca10:St Helens North,E14000962,!,45500,!,!,1100,45500,2.4,*,3600,45500,8.0,3.3,1700,45500,3.8,2.3,8300,45500,18.1,4.7,5800,45500,12.7,4.1,7600,45500,16.7,4.6,14800,45500,32.6,5.7,2200,45500,4.9,2.6,38700,45500,85.1,4.4
pca10:St Helens South and Whiston,E14000963,!,53000,!,!,600,53000,1.1,*,6300,53000,12.0,3.6,3500,53000,6.6,2.7,9700,53000,18.2,4.3,4300,53000,8.1,3.0,6900,53000,13.0,3.7,18600,53000,35.1,5.3,2500,53000,4.7,2.3,42000,53000,79.2,4.5
pca10:Stalybridge and Hyde,E14000967,!,47800,!,!,800,47800,1.7,*,5400,47800,11.4,3.9,3300,47800,6.9,3.1,9400,47800,19.8,4.9,1800,47800,3.9,2.4,7800,47800,16.4,4.5,15500,47800,32.5,5.7,3600,47800,7.6,3.2,38300,47800,80.1,4.9
pca10:Stockport,E14000969,!,42600,!,!,2000,42600,4.7,*,2600,42600,6.2,*,2600,42600,6.1,*,6700,42600,15.7,6.0,2900,42600,6.8,4.1,9800,42600,23.1,6.9,12100,42600,28.4,7.4,3300,42600,7.8,4.4,34900,42600,81.9,6.3
pca10:Stretford and Urmston,E14000979,!,52400,!,!,!,52400,!,!,3600,52400,6.8,3.2,2900,52400,5.6,2.9,9400,52400,18.0,4.8,4700,52400,8.9,3.6,9600,52400,18.3,4.8,17200,52400,32.8,5.9,3700,52400,7.1,3.2,44600,52400,85.2,4.5
pca10:Tatton,E14000987,!,48200,!,!,!,48200,!,!,3500,48200,7.2,*,2300,48200,4.9,*,9100,48200,18.9,7.9,5900,48200,12.3,6.6,9200,48200,19.1,7.9,13500,48200,28.0,9.0,3600,48200,7.4,*,41300,48200,85.7,7.0
pca10:Wallasey,E14001010,!,47900,!,!,1100,47900,2.2,*,8500,47900,17.7,5.6,3100,47900,6.4,3.6,10000,47900,20.8,6.0,1600,47900,3.4,*,6800,47900,14.2,5.2,15400,47900,32.1,6.9,1200,47900,2.5,*,35000,47900,73.1,6.6
pca10:Warrington North,E14001017,!,48900,!,!,1100,48900,2.1,*,5100,48900,10.4,3.8,3200,48900,6.6,3.1,10200,48900,20.9,5.1,4900,48900,10.1,3.8,7700,48900,15.7,4.5,13000,48900,26.5,5.5,3200,48900,6.5,3.1,39000,48900,79.7,5.0
pca10:Warrington South,E14001018,!,60600,!,!,1400,60600,2.3,*,5300,60600,8.7,3.1,3400,60600,5.6,2.6,8800,60600,14.5,3.9,4800,60600,8.0,3.0,13000,60600,21.4,4.6,19800,60600,32.6,5.2,3200,60600,5.2,2.5,49500,60600,81.7,4.3
pca10:Weaver Vale,E14001024,!,45600,!,!,~,45600,1.0,*,6700,45600,14.7,5.1,3200,45600,7.1,3.7,10900,45600,23.8,6.2,4000,45600,8.7,4.1,6000,45600,13.1,4.9,11700,45600,25.7,6.3,1400,45600,3.0,*,33900,45600,74.3,6.3
pca10:West Lancashire,E14001033,!,44500,!,!,!,44500,!,!,2200,44500,5.0,*,!,44500,!,!,8000,44500,17.9,9.0,9200,44500,20.6,9.5,4800,44500,10.8,*,15500,44500,34.9,11.2,1900,44500,4.3,*,39400,44500,88.5,7.5
pca10:Westmorland and Lonsdale,E14001037,1900,40900,4.6,*,1100,40900,2.7,*,2800,40900,6.8,*,3100,40900,7.5,4.4,10000,40900,24.5,7.3,2300,40900,5.5,*,5600,40900,13.7,5.8,10500,40900,25.8,7.4,3700,40900,9.0,4.8,32100,40900,78.5,6.9
pca10:Wigan,E14001039,!,54000,!,!,!,54000,!,!,4400,54000,8.2,4.2,5000,54000,9.3,4.4,12200,54000,22.6,6.3,4600,54000,8.5,4.2,5200,54000,9.7,4.5,16000,54000,29.7,6.9,5700,54000,10.6,4.7,43800,54000,81.1,5.9
pca10:Wirral South,E14001043,!,35900,!,!,#,35900,2.2,*,4100,35900,11.4,5.3,1800,35900,5.1,*,6900,35900,19.1,6.6,1800,35900,4.9,*,3800,35900,10.5,5.1,15000,35900,41.7,8.2,1800,35900,5.1,*,29200,35900,81.3,6.5
pca10:Wirral West,E14001044,!,33700,!,!,!,33700,!,!,1600,33700,4.7,*,2300,33700,6.9,*,4200,33700,12.5,5.8,2600,33700,7.8,*,6300,33700,18.8,6.8,14100,33700,41.8,8.6,2300,33700,6.9,*,29600,33700,87.8,5.7
pca10:Workington,E14001053,1800,38500,4.7,*,4200,38500,10.9,5.7,4700,38500,12.1,6.0,3100,38500,7.9,5.0,7400,38500,19.3,7.3,3100,38500,8.2,*,3500,38500,9.0,*,9800,38500,25.5,8.0,!,38500,!,!,24800,38500,64.3,8.8
pca10:Worsley and Eccles South,E14001054,!,59500,!,!,800,59500,1.3,*,4600,59500,7.7,3.2,3600,59500,6.0,2.8,10000,59500,16.8,4.4,5200,59500,8.8,3.4,11800,59500,19.8,4.7,18900,59500,31.7,5.5,3700,59500,6.2,2.9,49700,59500,83.4,4.4
pca10:Wyre and Preston North,E14001057,!,48000,!,!,!,48000,!,!,9000,48000,18.8,8.5,2200,48000,4.5,*,10100,48000,21.1,8.9,2700,48000,5.7,*,4800,48000,10.1,*,16500,48000,34.3,10.3,2100,48000,4.3,*,36300,48000,75.5,9.4
pca10:Wythenshawe and Sale East,E14001059,!,56700,!,!,!,56700,!,!,3700,56700,6.6,3.8,2000,56700,3.5,*,14000,56700,24.6,6.7,5800,56700,10.3,4.7,10500,56700,18.5,6.0,17600,56700,31.0,7.1,2700,56700,4.7,3.3,50600,56700,89.1,4.8
pca10:Barnsley Central,E14000541,!,43500,!,!,1100,43500,2.6,*,5900,43500,13.6,4.6,2500,43500,5.8,3.1,6500,43500,15.0,4.8,6600,43500,15.1,4.8,3500,43500,8.1,3.7,16000,43500,36.7,6.5,1200,43500,2.8,*,33800,43500,77.7,5.6
pca10:Barnsley East,E14000542,!,43600,!,!,1400,43600,3.1,*,6100,43600,14.1,4.6,4200,43600,9.5,3.9,7400,43600,16.9,5.0,4300,43600,9.8,3.9,3900,43600,8.8,3.8,13500,43600,30.9,6.1,2600,43600,6.1,3.2,31600,43600,72.5,5.9
pca10:Batley and Spen,E14000548,!,42600,!,!,!,42600,!,!,8300,42600,19.5,6.7,2800,42600,6.6,*,7100,42600,16.6,6.3,4600,42600,10.8,5.2,7200,42600,16.9,6.3,9400,42600,22.0,7.0,1700,42600,4.0,*,29900,42600,70.3,7.7
pca10:Beverley and Holderness,E14000556,600,43000,1.5,*,!,43000,!,!,4500,43000,10.4,4.8,3500,43000,8.2,4.3,6000,43000,13.9,5.5,2200,43000,5.1,*,8000,43000,18.6,6.1,15700,43000,36.4,7.6,2100,43000,4.9,*,34000,43000,79.0,6.4
pca10:Bradford East,E14000587,!,45600,!,!,!,45600,!,!,6600,45600,14.4,6.7,4700,45600,10.3,5.8,8400,45600,18.3,7.4,6400,45600,14.0,6.7,6300,45600,13.8,6.6,10700,45600,23.4,8.1,2600,45600,5.7,*,34400,45600,75.3,8.3
pca10:Bradford South,E14000588,!,45400,!,!,!,45400,!,!,6300,45400,13.9,6.7,2200,45400,4.8,*,10400,45400,23.0,8.1,3000,45400,6.7,*,7200,45400,15.9,7.1,13400,45400,29.6,8.8,!,45400,!,!,34900,45400,76.8,8.2
pca10:Bradford West,E14000589,!,37800,!,!,!,37800,!,!,4100,37800,10.9,*,!,37800,!,!,6900,37800,18.3,8.4,4800,37800,12.8,7.3,4500,37800,11.8,*,11600,37800,30.7,10.0,4100,37800,10.8,6.8,31900,37800,84.4,7.9
pca10:Brigg and Goole,E14000596,1800,41000,4.4,2.7,1700,41000,4.2,*,6300,41000,15.3,4.8,1900,41000,4.7,2.8,9300,41000,22.6,5.6,4800,41000,11.6,4.3,3800,41000,9.1,3.8,8700,41000,21.2,5.5,2800,41000,6.9,3.4,29300,41000,71.4,6.0
pca10:Calder Valley,E14000614,!,49800,!,!,~,49800,1.0,*,6400,49800,12.9,3.8,2200,49800,4.4,2.3,5600,49800,11.3,3.6,4100,49800,8.2,3.1,9900,49800,19.9,4.5,17900,49800,36.0,5.4,2800,49800,5.7,2.6,40400,49800,81.0,4.5
pca10:Cleethorpes,E14000643,!,46000,!,!,2200,46000,4.7,2.3,6900,46000,14.9,3.8,2600,46000,5.6,2.5,11000,46000,23.8,4.5,4700,46000,10.2,3.2,4200,46000,9.2,3.1,11700,46000,25.3,4.6,2100,46000,4.5,2.2,33700,46000,73.1,4.7
pca10:Colne Valley,E14000645,!,58800,!,!,!,58800,!,!,7400,58800,12.6,4.8,3800,58800,6.5,3.6,8500,58800,14.4,5.1,4400,58800,7.4,3.8,9400,58800,15.9,5.3,21000,58800,35.7,6.9,4100,58800,6.9,3.7,47300,58800,80.5,5.7
pca10:Dewsbury,E14000666,!,51200,!,!,!,51200,!,!,8700,51200,17.1,6.0,4400,51200,8.6,4.5,11100,51200,21.7,6.6,4600,51200,9.0,4.6,7600,51200,14.9,5.7,12800,51200,25.0,6.9,1600,51200,3.2,*,37800,51200,73.8,7.0
pca10:Don Valley,E14000667,900,44400,2.0,*,!,44400,!,!,3700,44400,8.3,4.3,4300,44400,9.6,4.6,7900,44400,17.8,6.0,8600,44400,19.3,6.2,3800,44400,8.6,4.4,12900,44400,29.1,7.1,2000,44400,4.5,*,35200,44400,79.2,6.3
pca10:Doncaster Central,E14000668,!,46700,!,!,1200,46700,2.5,*,2900,46700,6.3,3.9,2600,46700,5.6,*,14000,46700,29.9,7.3,3800,46700,8.1,4.3,6800,46700,14.6,5.6,13700,46700,29.3,7.2,1300,46700,2.9,*,39600,46700,84.9,5.7
pca10:Doncaster North,E14000669,!,47600,!,!,1200,47600,2.4,*,4500,47600,9.4,4.6,7100,47600,14.9,5.6,11600,47600,24.4,6.8,4600,47600,9.6,4.6,4200,47600,8.8,4.5,13400,47600,28.2,7.1,#,47600,1.5,*,34500,47600,72.5,7.1
pca10:East Yorkshire,E14000683,3400,49700,6.9,3.8,!,49700,!,!,6300,49700,12.7,5.0,3600,49700,7.1,3.8,8400,49700,16.8,5.6,800,49700,1.7,*,6700,49700,13.5,5.1,16500,49700,33.2,7.0,2900,49700,5.9,3.5,35300,49700,71.2,6.8
pca10:Elmet and Rothwell,E14000689,!,56800,!,!,!,56800,!,!,3300,56800,5.8,*,2600,56800,4.5,*,10600,56800,18.6,6.9,5500,56800,9.7,5.3,13700,56800,24.1,7.6,18800,56800,33.1,8.4,2300,56800,4.0,*,50900,56800,89.6,5.4
pca10:Great Grimsby,E14000716,!,40800,!,!,~,40800,1.1,*,9300,40800,22.9,4.7,2500,40800,6.2,2.7,9300,40800,22.8,4.7,3400,40800,8.3,3.1,4700,40800,11.6,3.5,9700,40800,23.7,4.7,1400,40800,3.5,2.0,28500,40800,69.8,5.1
pca10:Halifax,E14000723,!,46800,!,!,700,46800,1.5,*,5200,46800,11.1,3.8,2500,46800,5.4,2.7,9700,46800,20.8,4.9,3300,46800,7.1,3.1,7400,46800,15.8,4.4,15800,46800,33.8,5.7,2100,46800,4.5,2.5,38400,46800,82.0,4.6
pca10:Haltemprice and Howden,E14000724,!,39800,!,!,1300,39800,3.3,*,4100,39800,10.4,5.0,1900,39800,4.9,*,7800,39800,19.6,6.5,3700,39800,9.4,4.8,3400,39800,8.5,4.6,16300,39800,40.9,8.1,1000,39800,2.5,*,32200,39800,80.9,6.5
pca10:Harrogate and Knaresborough,E14000730,!,50400,!,!,!,50400,!,!,4900,50400,9.7,5.5,1900,50400,3.8,*,15100,50400,30.0,8.5,4300,50400,8.5,*,6700,50400,13.3,6.3,15000,50400,29.7,8.5,!,50400,!,!,42000,50400,83.3,6.9
pca10:Hemsworth,E14000740,#,44300,1.6,*,!,44300,!,!,4700,44300,10.7,4.9,3500,44300,8.0,4.3,9000,44300,20.4,6.4,5200,44300,11.7,5.1,6300,44300,14.2,5.5,14000,44300,31.7,7.3,!,44300,!,!,35100,44300,79.2,6.4
pca10:Huddersfield,E14000756,!,53400,!,!,!,53400,!,!,7800,53400,14.6,5.7,2600,53400,4.9,*,17700,53400,33.1,7.6,4200,53400,7.9,4.3,6200,53400,11.6,5.2,12000,53400,22.4,6.7,2300,53400,4.3,*,42300,53400,79.3,6.5
pca10:Keighley,E14000766,!,46300,!,!,!,46300,!,!,6400,46300,13.8,6.3,2200,46300,4.7,*,7200,46300,15.6,6.6,2400,46300,5.2,*,11000,46300,23.7,7.8,13900,46300,30.0,8.4,3300,46300,7.0,*,37800,46300,81.5,7.1
pca10:Kingston upon Hull East,E14000771,!,47400,!,!,!,47400,!,!,8400,47400,17.7,6.0,3800,47400,7.9,4.2,10000,47400,21.0,6.4,3300,47400,6.9,4.0,6600,47400,13.9,5.4,12300,47400,25.9,6.9,2400,47400,5.1,*,34500,47400,72.8,7.0
pca10:Kingston upon Hull North,E14000772,!,50500,!,!,!,50500,!,!,6100,50500,12.2,4.9,2800,50500,5.5,3.4,11200,50500,22.2,6.2,3800,50500,7.5,4.0,6800,50500,13.4,5.1,15800,50500,31.3,7.0,3400,50500,6.8,3.8,41000,50500,81.3,5.8
pca10:Kingston upon Hull West and Hessle,E14000773,!,41900,!,!,!,41900,!,!,9700,41900,23.1,7.0,2900,41900,7.0,*,7800,41900,18.5,6.5,3100,41900,7.3,4.3,5700,41900,13.5,5.7,10500,41900,25.1,7.2,1300,41900,3.1,*,28300,41900,67.6,7.8
pca10:Leeds Central,E14000777,!,58300,!,!,!,58300,!,!,7000,58300,12.1,6.1,2300,58300,3.9,*,10400,58300,17.8,7.1,4000,58300,6.9,*,9100,58300,15.6,6.7,22100,58300,38.0,9.0,1900,58300,3.2,*,47500,58300,81.5,7.2
pca10:Leeds East,E14000778,!,51900,!,!,1500,51900,2.9,*,3800,51900,7.3,*,3100,51900,5.9,*,12300,51900,23.8,8.3,7700,51900,14.8,7.0,7700,51900,14.8,7.0,13000,51900,25.1,8.5,2300,51900,4.4,*,43000,51900,82.9,7.4
pca10:Leeds North East,E14000779,!,51300,!,!,!,51300,!,!,3200,51300,6.3,*,2700,51300,5.3,*,3700,51300,7.3,*,5700,51300,11.1,6.1,10800,51300,21.0,7.9,20700,51300,40.3,9.5,3900,51300,7.6,*,44700,51300,87.2,6.4
pca10:Leeds North West,E14000780,!,52200,!,!,!,52200,!,!,5900,52200,11.3,6.0,1800,52200,3.4,*,7900,52200,15.1,6.8,2600,52200,5.0,*,6400,52200,12.4,6.2,21900,52200,42.0,9.4,4400,52200,8.4,*,43200,52200,82.9,7.1
pca10:Leeds West,E14000781,!,52300,!,!,1600,52300,3.1,*,4300,52300,8.2,*,4900,52300,9.4,5.5,8800,52300,16.8,7.0,5200,52300,9.9,5.6,12300,52300,23.5,8.0,11400,52300,21.7,7.7,3800,52300,7.3,*,41400,52300,79.2,7.6
pca10:Morley and Outwood,E14000826,!,61100,!,!,!,61100,!,!,6600,61100,10.9,5.2,6500,61100,10.6,5.1,5400,61100,8.8,4.7,3400,61100,5.6,*,12200,61100,20.0,6.6,23400,61100,38.3,8.1,3000,61100,5.0,*,47500,61100,77.7,6.9
"pca10:Normanton, Pontefract and Castleford",E14000836,!,46300,!,!,1000,46300,2.2,*,8400,46300,18.0,5.8,2400,46300,5.1,*,8800,46300,19.1,5.9,6100,46300,13.2,5.1,6300,46300,13.7,5.1,11900,46300,25.6,6.5,1400,46300,3.1,*,34600,46300,74.7,6.5
pca10:Penistone and Stocksbridge,E14000876,~,49500,0.9,*,!,49500,!,!,6900,49500,14.0,5.1,4500,49500,9.1,4.3,7100,49500,14.3,5.2,2400,49500,4.8,*,7300,49500,14.8,5.3,17700,49500,35.7,7.1,2700,49500,5.4,3.4,37100,49500,75.0,6.4
pca10:Pudsey,E14000886,!,51900,!,!,!,51900,!,!,3000,51900,5.8,*,3800,51900,7.4,*,7200,51900,13.9,6.4,5200,51900,10.0,5.5,11800,51900,22.8,7.7,16500,51900,31.8,8.6,4300,51900,8.4,*,45100,51900,86.8,6.2
pca10:Richmond (Yorks),E14000895,1600,45100,3.6,*,!,45100,!,!,4800,45100,10.7,5.9,2600,45100,5.8,*,9000,45100,20.1,7.7,1400,45100,3.1,*,6900,45100,15.4,6.9,14100,45100,31.3,8.9,3300,45100,7.4,*,34800,45100,77.2,8.0
pca10:Rother Valley,E14000903,!,46400,!,!,!,46400,!,!,5600,46400,12.1,4.5,4000,46400,8.6,3.9,6200,46400,13.4,4.8,4100,46400,8.7,3.9,4700,46400,10.2,4.2,18700,46400,40.4,6.8,2300,46400,4.9,3.0,36000,46400,77.7,5.8
pca10:Rotherham,E14000904,!,37900,!,!,!,37900,!,!,3700,37900,9.7,4.7,2500,37900,6.7,4.0,4900,37900,12.8,5.3,1700,37900,4.5,*,6000,37900,15.8,5.8,14600,37900,38.4,7.7,4000,37900,10.5,4.8,31100,37900,82.0,6.1
pca10:Scarborough and Whitby,E14000913,!,47200,!,!,!,47200,!,!,4000,47200,8.5,*,3500,47200,7.4,*,9700,47200,20.6,8.0,1800,47200,3.8,*,5000,47200,10.7,6.1,20000,47200,42.4,9.8,#,47200,2.3,*,37700,47200,79.8,8.0
pca10:Scunthorpe,E14000914,!,37000,!,!,1100,37000,3.1,*,7300,37000,19.8,5.3,3400,37000,9.3,3.9,7600,37000,20.5,5.4,1400,37000,3.8,*,3100,37000,8.4,3.7,9300,37000,25.1,5.8,3100,37000,8.4,3.7,24500,37000,66.2,6.3
pca10:Selby and Ainsty,E14000917,1600,45300,3.6,*,1900,45300,4.2,*,5200,45300,11.5,5.9,3400,45300,7.5,*,11800,45300,26.0,8.1,3000,45300,6.6,*,6700,45300,14.7,6.5,8500,45300,18.7,7.2,3200,45300,7.1,*,33100,45300,73.1,8.2
pca10:Sheffield Central,E14000919,!,60400,!,!,!,60400,!,!,5200,60400,8.6,*,1600,60400,2.7,*,11300,60400,18.8,7.4,3100,60400,5.1,*,9300,60400,15.3,6.8,27500,60400,45.6,9.4,2400,60400,3.9,*,53600,60400,88.7,6.0
pca10:Sheffield South East,E14000920,!,41800,!,!,1600,41800,3.9,*,4900,41800,11.6,*,3400,41800,8.0,*,8400,41800,20.2,8.8,3000,41800,7.1,*,4300,41800,10.3,*,12300,41800,29.4,10.0,4000,41800,9.5,*,32000,41800,76.5,9.4
"pca10:Sheffield, Brightside and Hillsborough",E14000921,!,40700,!,!,!,40700,!,!,5500,40700,13.4,7.8,!,40700,!,!,6900,40700,16.9,8.6,5300,40700,13.0,*,7500,40700,18.5,8.9,12300,40700,30.3,10.5,1600,40700,4.0,*,33700,40700,82.7,8.7
"pca10:Sheffield, Hallam",E14000922,!,66500,!,!,!,66500,!,!,7000,66500,10.5,5.5,3600,66500,5.4,*,4300,66500,6.5,*,2800,66500,4.1,*,10600,66500,15.9,6.6,31500,66500,47.3,9.0,6200,66500,9.3,5.3,55400,66500,83.2,6.7
"pca10:Sheffield, Heeley",E14000923,!,52500,!,!,!,52500,!,!,3700,52500,7.1,*,6800,52500,12.9,6.7,6400,52500,12.3,*,3700,52500,7.1,*,7100,52500,13.6,6.9,23000,52500,43.8,9.9,#,52500,3.3,*,42100,52500,80.1,8.0
